"MouseID","Area","Perim.","Mean","StdDev","Mode","Min","Max","Median","Skew","Kurt","Major","Minor","Angle","Circ.","AR","Round","Solidity","Feret","FeretAngle","MinFeret","IntDen","RawIntDen","TumourCalling"
"84231-0",7.033,12.292,93.892,28.234,0,0,204,99,-1.439,3.745,3.662,2.445,43.78,0.585,1.497,0.668,0.939,3.74,39.378,2.666,660.307,887746,"Ad"
"84231-0",4.146,8.305,89.837,20.492,78,0,157,91,-1.368,4.951,2.525,2.091,48.13,0.755,1.207,0.828,0.975,2.553,49.332,2.102,372.458,500749,"Ad"
"84231-0",6.965,10.204,95.78,22.211,107,0,164,98,-1.575,5.106,3.05,2.907,101.291,0.841,1.049,0.953,0.976,3.129,104.642,2.965,667.104,896884,"Ad"
"84231-0",2.288,6.024,86.609,25.477,0,0,165,90,-1.522,4.227,1.985,1.467,2.851,0.792,1.353,0.739,0.972,1.995,169.765,1.473,198.156,266410,"Ad"
"84231-0",0.538,2.791,89.631,14.942,84,11,152,89,0.686,3.547,0.852,0.803,124.727,0.868,1.061,0.942,0.956,0.9,125.134,0.818,48.201,64803,"Ad"
"84231-0",3.146,9.101,85.306,28.74,0,0,160,90,-1.359,2.345,2.683,1.493,166.939,0.477,1.797,0.557,0.909,2.838,160.346,1.636,268.397,360845,"Ad"
"84231-0",3.691,8.874,87.84,22.297,93,0,160,91,-1.314,4.075,3.227,1.456,7.145,0.589,2.216,0.451,0.902,3.279,11.03,1.585,324.195,435862,"Ad"
"84231-0",9.337,12.343,106.587,22.598,127,0,179,109,-0.803,1.656,4.057,2.93,122.406,0.77,1.385,0.722,0.974,4.117,119.792,3.001,995.2,1337991,"Ad"
"84231-1",1.393,5.111,102.32,21.298,101,16,146,105,-0.552,-0.05,1.737,1.021,176.121,0.67,1.702,0.587,0.905,1.77,172.2,1.151,142.503,247001,"nAd"
"84231-1",0.551,4.317,87.904,25.821,0,0,140,89,-1.177,2.647,1.09,0.644,36.475,0.372,1.693,0.591,0.8,1.236,24.075,0.779,48.432,83948,"nAd"
"84231-1",4.329,9.3,106.107,29.982,0,0,163,112,-1.389,2.648,3.073,1.794,52.447,0.629,1.713,0.584,0.925,3.257,39.914,2.063,459.308,796119,"nAd"
"84231-1",2.429,7.65,110.468,26.523,133,0,165,118,-0.807,0.327,2.899,1.067,173.689,0.522,2.717,0.368,0.888,3.191,173.517,1.249,268.379,465182,"nAd"
"84231-1",0.324,2.509,106.784,18.04,117,22,152,110,-0.602,1.124,0.894,0.461,147.387,0.646,1.938,0.516,0.856,0.989,150.945,0.543,34.562,59906,"nAd"
"84231-1",0.801,4.683,95.459,18.131,91,12,140,95,-0.075,0.001,1.534,0.665,173.149,0.459,2.308,0.433,0.904,1.662,175.855,0.672,76.442,132497,"nAd"
"84231-1",1.137,5.832,83.167,22.447,76,0,134,83,-0.704,1.601,1.742,0.831,2.778,0.42,2.095,0.477,0.865,1.819,12.2,0.889,94.572,163922,"nAd"
"84231-1",2.565,8.681,92.643,26.383,97,0,216,96,-0.858,3.157,2.569,1.271,83.373,0.428,2.021,0.495,0.847,2.757,67.457,1.44,237.633,411889,"nAd"
"84231-1",0.312,2.905,92.381,13.701,91,26,124,93,-0.862,1.466,0.656,0.605,159.475,0.464,1.086,0.921,0.783,0.849,8.13,0.625,28.781,49886,"nAd"
"84231-1",3.699,10.71,82.928,27.718,0,0,199,86,-1.144,2.73,2.735,1.722,176.492,0.405,1.588,0.63,0.892,3.064,166.399,1.988,306.727,531650,"nAd"
"84231-1",1.235,6.265,73.674,8.216,74,39,93,74,-0.306,0.166,1.927,0.816,158.248,0.395,2.36,0.424,0.861,2.115,164.859,0.886,91.003,157736,"nAd"
"84231-1",1.233,5.767,81.754,15.551,90,0,126,83,-1.063,3.41,1.987,0.79,166.951,0.466,2.515,0.398,0.883,2.004,166.13,0.893,100.843,174791,"nAd"
"84231-1",0.34,2.862,89.375,15.98,93,0,131,91,-0.744,1.695,0.813,0.533,175.09,0.522,1.525,0.656,0.873,0.88,145.008,0.566,30.422,52731,"nAd"
"84231-1",0.212,1.94,86.427,17.145,80,0,130,85,-0.137,1.482,0.546,0.495,145.927,0.709,1.103,0.907,0.881,0.683,140.711,0.527,18.349,31805,"nAd"
"84231-1",2.872,12.359,85.89,25.571,0,0,144,88,-1.196,2.29,3.689,0.991,23.902,0.236,3.722,0.269,0.833,3.906,31.931,1.177,246.675,427561,"nAd"
"84231-1",0.564,3.844,73.54,26.756,0,0,133,79,-1.449,2.134,0.954,0.753,126.46,0.48,1.268,0.789,0.808,1.162,150.255,0.901,41.494,71922,"nAd"
"84231-1",0.771,4.735,108.207,19.527,113,2,141,112,-1.441,3.653,1.133,0.867,172.463,0.432,1.307,0.765,0.899,1.236,172.185,0.889,83.467,144673,"nAd"
"84231-1",1.064,4.295,94.198,14.516,101,42,133,97,-0.624,-0.071,1.52,0.891,164.325,0.725,1.706,0.586,0.958,1.591,141.746,0.868,100.214,173701,"nAd"
"84231-1",0.727,3.58,93.771,17.593,95,0,143,96,-1.469,5.975,1.096,0.845,169.747,0.713,1.298,0.771,0.938,1.24,148.465,0.837,68.165,118151,"nAd"
"84231-1",2.627,9.588,85.096,14.953,88,0,131,86,-0.424,1.16,4.077,0.821,178.645,0.359,4.968,0.201,0.896,3.91,174.359,0.911,223.577,387525,"nAd"
"84231-1",0.594,3.095,85.412,25.587,99,0,146,89,-1.394,3.46,1.013,0.747,165.069,0.779,1.356,0.738,0.959,1.144,140.964,0.721,50.755,87974,"nAd"
"84231-1",1.168,4.917,82.294,16.634,77,7,122,82,-0.086,-0.116,1.786,0.833,167.072,0.607,2.144,0.466,0.912,1.794,153.778,0.886,96.096,166563,"nAd"
"84231-1",3.091,9.221,81.736,19.191,84,0,141,83,-1.177,3.467,3.436,1.145,5.795,0.457,3,0.333,0.901,3.34,12.037,1.217,252.617,437861,"nAd"
"84231-1",0.211,2.198,88.792,15.195,93,35,123,91,-0.446,-0.152,0.73,0.368,138.578,0.549,1.983,0.504,0.78,0.88,145.008,0.476,18.749,32498,"nAd"
"84231-1",0.818,4.258,84.302,16.646,88,41,121,84,-0.042,-0.801,1.458,0.714,2.995,0.567,2.042,0.49,0.901,1.527,24.146,0.697,68.967,119540,"nAd"
"84231-1",1.108,4.63,86.26,17.311,83,0,145,85,-0.014,2.66,1.804,0.782,173.015,0.65,2.306,0.434,0.96,1.794,153.778,0.749,95.601,165705,"nAd"
"84231-1",1.784,6.445,91.355,18.286,104,0,142,94,-0.628,0.41,2.529,0.898,0.381,0.54,2.816,0.355,0.933,2.446,160.498,0.865,162.966,282469,"nAd"
"84231-1",0.425,2.619,81.871,10.532,82,58,133,81,1.207,3.896,0.875,0.619,165.326,0.779,1.414,0.707,0.912,0.924,8.973,0.641,34.812,60339,"nAd"
"84231-1",1.363,6.329,104.739,25.25,114,0,156,108,-0.634,0.429,2.468,0.703,170.906,0.428,3.51,0.285,0.855,2.508,159.829,0.748,142.73,247393,"nAd"
"84231-1",1.252,5.921,99.733,23.712,104,0,158,103,-0.859,1.79,2.31,0.69,4.961,0.449,3.348,0.299,0.907,2.264,4.259,0.727,124.861,216421,"nAd"
"84231-1",0.216,1.818,103.963,18.516,109,4,142,106,-1.167,3.437,0.562,0.49,1.144,0.822,1.147,0.872,0.928,0.647,31.329,0.48,22.492,38986,"nAd"
"84231-1",0.698,3.926,91.403,20.189,84,39,142,90,0.143,-0.92,1.437,0.618,5.84,0.569,2.324,0.43,0.884,1.499,173.558,0.673,63.755,110506,"nAd"
"84231-1",1.504,6.19,85.073,20.406,76,0,143,84,-0.104,1.709,2.383,0.804,146.117,0.493,2.964,0.337,0.891,2.412,144.728,0.884,127.955,221785,"nAd"
"84231-1",0.666,3.579,95.224,24.254,115,0,138,100,-1.426,2.999,1.179,0.719,174.743,0.653,1.64,0.61,0.921,1.273,148.109,0.713,63.399,109889,"nAd"
"84231-1",0.588,4.124,85.998,15.115,91,36,136,86,0.223,1.237,1.232,0.608,169.644,0.434,2.027,0.493,0.876,1.277,163.61,0.648,50.558,87632,"nAd"
"84231-1",2.043,8.071,103.021,21.743,117,25,145,108,-0.635,-0.268,2.832,0.919,0.886,0.394,3.083,0.324,0.899,3.016,5.484,0.985,210.465,364798,"nAd"
"84231-2",6.022,14.689,86.494,34.252,0,0,216,88,-0.15,-0.107,3.158,2.428,105.351,0.351,1.301,0.769,0.787,3.881,111.724,2.801,520.848,656659,"nAd"
"84231-2",0.662,4.113,96.711,30.684,80,9,156,90,0.276,-0.874,1.258,0.669,154.905,0.492,1.88,0.532,0.799,1.416,162.646,0.778,63.975,80657,NA
"84231-2",3.857,10.549,71.732,20.045,69,0,144,73,-0.324,1.416,3.348,1.467,1.406,0.436,2.282,0.438,0.87,3.445,4.219,1.713,276.688,348835,"nAd"
"84231-2",0.22,1.834,102.014,26.088,104,42,150,104,-0.173,-0.841,0.546,0.513,84.523,0.821,1.064,0.939,0.908,0.618,59.931,0.507,22.414,28258,NA
"84231-2",0.619,5.078,76.233,21.774,79,0,132,77,-0.674,1.216,1.179,0.669,177.019,0.302,1.763,0.567,0.73,1.469,4.399,0.845,47.224,59538,"nAd"
"84231-2",7.186,14.875,75.022,27.508,0,0,206,77,-0.338,1.018,4.286,2.135,171.455,0.408,2.008,0.498,0.843,4.45,179.637,2.419,539.12,679696,"nAd"
"84231-2",1.095,5.83,65.418,17.069,65,6,106,64,0.085,-0.177,1.263,1.104,66.571,0.405,1.144,0.874,0.83,1.436,41.82,1.197,71.606,90277,"nAd"
"84231-2",0.815,4.102,60.634,16.613,71,7,104,62,-0.389,0.257,1.109,0.935,68.414,0.608,1.187,0.843,0.869,1.383,56.634,1.023,49.392,62271,"nAd"
"84231-2",0.239,2.567,76.449,22.673,57,27,136,73,0.479,-0.553,0.607,0.501,12.778,0.455,1.211,0.826,0.801,0.739,40.365,0.591,18.252,23011,"nAd"
"84231-2",0.26,2.08,88.378,14.835,82,31,116,89,-0.635,0.666,0.632,0.524,35.197,0.756,1.207,0.828,0.899,0.704,36.87,0.587,22.993,28988,"nAd"
"84965-0",0.218,1.993,77.265,13.976,88,44,102,78,-0.432,-0.729,0.661,0.421,135.947,0.691,1.569,0.637,0.854,0.701,146.31,0.489,16.871,21866,"nAd"
"84965-0",0.593,3.987,71.997,15.46,86,30,106,72,-0.154,-0.843,1.096,0.689,169.101,0.469,1.59,0.629,0.833,1.203,18.853,0.72,42.718,55366,"nAd"
"84965-0",0.47,3.464,79.709,16.378,70,34,114,78,-0.056,-0.713,0.995,0.601,8.807,0.492,1.656,0.604,0.829,1.112,177.138,0.633,37.453,48543,"nAd"
"84965-0",1.63,8.269,74.321,18.797,82,0,127,77,-0.832,1.887,2.122,0.978,179.928,0.3,2.17,0.461,0.814,2.17,18.667,1.083,121.165,157041,"nAd"
"84965-0",0.225,2.726,76.371,19.777,70,20,123,73,0.161,-0.49,0.779,0.367,166.315,0.38,2.122,0.471,0.703,0.843,162.759,0.505,17.147,22224,"nAd"
"84965-0",0.724,4.973,67.561,20.975,65,0,139,68,-0.261,1.298,1.088,0.847,125.456,0.368,1.285,0.778,0.726,1.375,133.363,1.057,48.895,63372,"nAd"
"84965-0",0.528,3.418,72.083,10.356,77,39,96,73,-0.386,-0.159,0.916,0.733,121.726,0.568,1.249,0.801,0.814,1.041,136.081,0.86,38.041,49305,"nAd"
"84965-0",0.445,4.102,70.998,18.02,70,0,127,70,0.225,1.44,1.057,0.536,39.097,0.332,1.97,0.508,0.732,1.297,43.264,0.694,31.607,40966,"nAd"
"84965-0",0.271,2.372,78.761,16.734,65,1,120,79,-0.704,2.301,0.811,0.425,116.689,0.605,1.906,0.525,0.846,0.872,112.479,0.507,21.33,27645,"nAd"
"84965-0",0.356,2.787,62.286,25.482,72,0,123,65,-0.466,0.19,0.77,0.59,144.909,0.577,1.306,0.766,0.824,0.956,144.462,0.685,22.202,28776,"nAd"
"84965-1",0.209,2.68,72.882,16.095,62,0,110,73,-0.389,0.96,0.67,0.398,97.561,0.366,1.685,0.594,0.773,0.786,98.13,0.444,15.24,19751,"nAd"
"84965-1",0.481,4.03,79.159,18.745,86,31,133,79,0.125,-0.429,1.008,0.608,2.317,0.372,1.656,0.604,0.809,1.112,12.995,0.722,38.113,49395,"nAd"
"84965-1",1.025,5.244,104.299,27.734,125,0,158,110,-0.592,0.239,1.486,0.878,136.921,0.468,1.692,0.591,0.825,1.757,140.774,1.027,106.874,138509,"nAd"
"84965-1",0.24,2.657,68.418,14.637,73,8,102,69,-0.498,1.214,0.608,0.502,159.715,0.427,1.211,0.825,0.712,0.811,141.953,0.584,16.418,21278,"nAd"
"84965-1",2.332,9.47,59.882,23.325,60,0,123,62,-0.358,0.026,2.061,1.441,73.68,0.327,1.43,0.699,0.823,2.251,54.545,1.601,139.632,180963,"nAd"
"84965-1",1.636,7.577,73.673,28.461,82,0,147,76,-0.387,0.357,1.754,1.187,80.638,0.358,1.478,0.677,0.816,2.037,84.523,1.393,120.514,156186,NA
"84965-1",0.809,4.828,70.579,27.359,58,0,146,73,-0.437,-0.082,1.222,0.843,130.983,0.436,1.449,0.69,0.813,1.434,121.535,1.021,57.127,74037,"nAd"
"84965-1",0.843,4.563,71.973,20.275,79,0,125,73,-0.388,0.498,1.259,0.852,81.564,0.509,1.476,0.677,0.838,1.462,75.7,0.914,60.644,78595,"nAd"
"84965-1",0.267,2.728,75.272,19.047,80,16,113,78,-0.384,-0.38,0.887,0.383,75.312,0.451,2.314,0.432,0.775,0.977,75.174,0.48,20.096,26044,"nAd"
"84965-1",3.578,11.643,66.772,24.187,70,0,130,70,-0.66,0.331,2.712,1.679,12.241,0.332,1.615,0.619,0.891,2.965,12.995,1.813,238.905,309621,"nAd"
"84965-1",0.564,3.575,96.967,26.51,124,0,139,96,-0.24,-0.842,1.032,0.696,7.605,0.554,1.484,0.674,0.858,1.168,25.346,0.744,54.694,70883,"nAd"
"84965-1",0.235,2.615,71.766,18.089,60,0,111,72,-0.56,1.383,0.578,0.517,176.173,0.431,1.119,0.894,0.706,0.786,8.13,0.603,16.834,21817,"nAd"
"84965-1",0.905,5.499,81.629,32.17,0,0,160,84,-0.52,0.276,1.32,0.873,70.581,0.376,1.512,0.661,0.804,1.479,61.991,0.99,73.882,95751,"nAd"
"84965-1",0.285,3.115,89.53,21.289,82,19,129,90,-0.399,-0.322,0.797,0.456,27.939,0.37,1.746,0.573,0.722,0.97,23.629,0.546,25.56,33126,"nAd"
"84965-1",0.222,2.104,88.997,18.917,86,37,127,89,-0.205,-0.64,0.686,0.412,63.799,0.631,1.664,0.601,0.857,0.784,67.068,0.479,19.777,25631,"nAd"
"84965-1",2.346,8.999,84.468,29.399,0,0,146,88,-0.856,0.899,2.713,1.101,0.992,0.364,2.464,0.406,0.865,2.736,9.941,1.167,198.199,256866,"Ad"
"84965-1",0.762,4.86,66.301,26.848,0,0,131,68,-0.471,0.536,1.029,0.943,32.878,0.405,1.091,0.916,0.8,1.398,49.028,0.999,50.493,65439,"nAd"
"84965-1",0.629,4.152,76.504,36.451,0,0,138,80,-0.554,-0.319,0.988,0.81,53.171,0.458,1.219,0.82,0.804,1.182,66.448,0.932,48.11,62351,"nAd"
"84965-1",0.838,4.117,67.86,23.794,0,0,117,72,-0.868,0.774,1.08,0.988,133.833,0.621,1.093,0.915,0.875,1.278,47.643,1,56.864,73696,"nAd"
"84965-1",0.201,2.231,83.465,18.915,88,39,140,84,0.096,-0.567,0.629,0.406,37.555,0.506,1.547,0.646,0.758,0.74,55.713,0.485,16.745,21701,"nAd"
"84965-1",8.788,15.982,84.78,26.103,104,0,165,87,-0.361,0.385,3.918,2.856,170.511,0.432,1.372,0.729,0.922,4.092,156.393,2.917,745.034,965564,"Ad"
"84965-1",2.938,8.378,94.955,28.148,0,0,162,101,-1.415,2.837,2.56,1.461,154.077,0.526,1.752,0.571,0.909,2.626,156.961,1.594,278.93,361493,"Ad"
"84965-1",0.615,3.605,82.418,32.126,0,0,140,86,-0.661,0.029,1.097,0.714,174.085,0.595,1.536,0.651,0.818,1.275,168.69,0.861,50.684,65687,"nAd"
"84965-1",2.496,7.909,75.57,39.058,0,0,156,75,-0.126,-0.743,1.937,1.641,47.183,0.501,1.18,0.847,0.871,2.298,44.51,1.806,188.633,244469,"nAd"
"84965-1",0.657,4.665,77.921,14.18,84,0,109,81,-0.632,0.956,1.735,0.482,170.345,0.38,3.598,0.278,0.792,1.913,170.811,0.622,51.226,66389,"nAd"
"84965-1",0.458,3.432,76.416,31.627,73,0,136,79,-0.589,-0.047,0.801,0.729,25.312,0.489,1.099,0.91,0.785,1.031,4.635,0.815,35.024,45391,"nAd"
"84965-1",0.259,2.437,91.524,24.137,75,33,139,94,-0.172,-0.97,0.741,0.446,12.924,0.548,1.663,0.601,0.778,0.817,9.782,0.533,23.728,30752,"nAd"
"84965-1",1.144,6.579,68.249,33.183,0,0,154,69,-0.044,-0.107,1.259,1.157,119.802,0.332,1.088,0.919,0.7,1.649,32.619,1.416,78.096,101213,"nAd"
"84965-1",1.076,4.461,81.73,20.905,63,0,143,79,-0.077,0.784,1.651,0.83,7.394,0.68,1.99,0.503,0.929,1.645,15.68,0.84,87.974,114014,"Ad"
"84965-1",0.357,3.537,75.233,15.249,86,10,117,75,-0.067,0.171,0.693,0.656,23.042,0.359,1.057,0.946,0.707,0.895,143.842,0.778,26.877,34833,"nAd"
"84965-1",1.779,6.832,94.414,25.833,106,0,170,96,-0.147,0.536,2.158,1.05,176.615,0.479,2.055,0.487,0.904,2.321,168.959,1.083,167.992,217718,"Ad"
"84965-1",0.218,1.982,83.514,22.547,62,35,141,79,0.546,-0.581,0.617,0.449,158.005,0.696,1.372,0.729,0.885,0.683,153.435,0.477,18.172,23551,"nAd"
"84965-1",2,6.502,96.788,27.042,91,0,155,97,-0.717,1.194,2.139,1.19,164.719,0.595,1.797,0.556,0.927,2.202,150.524,1.249,193.576,250875,"Ad"
"84965-1",1.986,6.542,85.606,30.089,100,0,151,90,-0.687,0.042,1.871,1.352,147.167,0.583,1.384,0.723,0.921,1.953,140.194,1.488,170.023,220350,"nAd"
"84965-1",2.808,7.888,117.205,33.06,141,0,157,132,-1.334,1.08,2.593,1.379,173.529,0.567,1.881,0.532,0.886,2.672,152.103,1.444,329.096,426508,"Ad"
"84965-1",3.503,7.216,99.738,28.531,0,0,160,105,-1.445,2.801,2.204,2.023,129.804,0.845,1.09,0.918,0.973,2.273,141.45,2.068,349.391,452811,"Ad"
"84965-1",0.289,2.46,91.305,21.301,99,0,148,94,-1.065,4.288,0.673,0.546,74.192,0.599,1.233,0.811,0.867,0.758,61.557,0.591,26.349,34148,"Ad"
"84965-1",0.309,3.265,77.641,18.261,73,38,144,76,0.605,0.304,0.729,0.541,126.577,0.365,1.347,0.742,0.669,0.923,105.709,0.671,24.023,31134,"Ad"
"84965-1",0.262,2.909,69.535,16.1,72,4,150,68,1.642,6.138,0.581,0.575,35.069,0.39,1.011,0.989,0.829,0.663,146.976,0.611,18.242,23642,"Ad"
"84965-1",1.334,4.692,106.087,22.847,121,21,156,110,-0.504,-0.393,1.644,1.033,29.87,0.762,1.592,0.628,0.933,1.74,19.592,1.089,141.531,183424,"Ad"
"84965-1",12.524,17.945,112.284,30.168,129,0,164,121,-1.132,1.116,6.945,2.296,4.625,0.489,3.025,0.331,0.957,6.944,5.049,2.463,1406.231,1822476,"Ad"
"84965-1",3.31,8.845,85.325,33.316,0,0,155,90,-0.605,0.249,2.433,1.732,153.943,0.532,1.405,0.712,0.901,2.549,159.59,1.941,282.442,366045,"Ad"
"84965-1",5.244,15.213,87.532,31.766,0,0,163,92,-0.869,0.763,4.884,1.367,4.57,0.285,3.572,0.28,0.839,5.142,8.699,1.732,459.002,594866,NA
"84965-1",0.299,3.52,87.698,29.996,86,0,157,86,-0.126,-0.1,0.88,0.432,38.981,0.303,2.036,0.491,0.698,1.05,37.476,0.576,26.188,33939,NA
"84965-1",0.202,2.074,82.691,20.947,70,16,154,82,0.607,0.841,0.596,0.432,167.79,0.591,1.379,0.725,0.807,0.708,138.18,0.457,16.717,21665,NA
"84965-1",9.748,17.55,96.286,34.381,0,0,161,105,-1.172,1.029,5.281,2.35,169.754,0.398,2.247,0.445,0.922,5.244,172.084,2.486,938.639,1216476,"Ad"
"84965-1",1.134,4.542,73.771,29.553,67,0,159,72,0.149,0.425,1.458,0.991,102.428,0.691,1.471,0.68,0.921,1.584,127.875,1.006,83.676,108444,"Ad"
"84965-1",1.035,4.415,93.371,30.856,99,0,159,96,-0.417,-0.177,1.452,0.907,101.18,0.667,1.601,0.624,0.915,1.516,76.218,0.947,96.613,125211,"Ad"
"84965-1",13.468,17.638,108.525,31.264,134,0,163,120,-1.485,1.946,5.038,3.404,11.119,0.544,1.48,0.676,0.898,5.351,172.543,3.48,1461.651,1894300,"Ad"
"84965-1",1.38,6.446,67.59,32.353,0,0,144,72,-0.528,-0.403,1.38,1.274,118.976,0.418,1.083,0.923,0.798,1.74,109.592,1.297,93.302,120919,"nAd"
"84965-1",1.046,4.765,93.536,25.766,104,0,161,93,-0.013,-0.046,1.355,0.983,100.796,0.579,1.378,0.725,0.881,1.492,114.179,1.073,97.867,126835,"Ad"
"84965-1",2.069,6.736,97.138,30.596,106,0,158,102,-0.554,-0.1,1.865,1.413,36.294,0.573,1.32,0.758,0.901,1.992,50.092,1.46,201.021,260523,"Ad"
"84965-1",0.583,3.278,107.032,26.896,96,35,158,109,-0.327,-0.693,1.11,0.669,21.122,0.682,1.658,0.603,0.872,1.193,12.095,0.761,62.435,80916,"Ad"
"84965-1",0.221,2.182,84.847,21.216,83,5,147,84,-0.149,1.623,0.581,0.485,142.642,0.584,1.197,0.835,0.801,0.672,150.255,0.545,18.789,24351,NA
"84965-1",0.467,3.117,91.577,24.589,99,13,153,91,0.103,-0.213,1.046,0.568,172.468,0.604,1.839,0.544,0.849,1.037,159.624,0.655,42.75,55404,NA
"84965-1",0.226,2.185,94.683,26.049,92,32,153,92,0.211,-0.594,0.561,0.513,59.061,0.595,1.095,0.913,0.786,0.707,45,0.568,21.406,27742,NA
"84965-1",0.248,2.437,83.072,26.738,99,0,143,84,-0.313,0.109,0.87,0.363,21.343,0.524,2.4,0.417,0.81,0.97,23.629,0.447,20.576,26666,"nAd"
"84965-1",4.826,9.983,108.451,27.258,137,0,164,113,-0.574,-0.345,3.366,1.825,3.303,0.609,1.844,0.542,0.934,3.759,8.07,2,523.428,678363,"Ad"
"84965-1",0.316,2.601,84.605,19.022,98,0,141,87,-0.41,0.774,0.76,0.53,70.161,0.588,1.433,0.698,0.798,0.858,60.945,0.634,26.765,34688,"Ad"
"84965-1",13.004,19.087,105.401,34.19,138,0,165,114,-1.063,0.679,6.014,2.753,164.813,0.449,2.184,0.458,0.91,6.704,156.303,3.106,1370.625,1776330,"Ad"
"84965-1",1.029,5.293,86.158,32.843,0,0,159,90,-0.558,0.182,1.413,0.927,169.867,0.461,1.525,0.656,0.799,1.591,16.22,1.001,88.617,114848,"Ad"
"84965-1",0.438,3.533,77.989,18.029,86,10,122,78,-0.137,0.093,0.771,0.722,14.106,0.44,1.068,0.937,0.799,0.945,24.305,0.78,34.12,44220,NA
"84965-1",0.204,2.12,87.113,24.872,86,18,144,85,0.227,-0.714,0.685,0.38,48.669,0.572,1.803,0.555,0.796,0.79,50.711,0.46,17.812,23085,NA
"84965-1",0.425,2.869,91.568,30.025,102,0,165,94,-0.327,0.628,0.932,0.581,152.545,0.649,1.605,0.623,0.86,1.003,4.764,0.596,38.931,50454,"Ad"
"84965-1",0.608,5.025,81.64,20.177,86,9,136,81,-0.015,-0.452,1.098,0.705,164.148,0.303,1.556,0.643,0.776,1.302,168.93,0.783,49.639,64332,NA
"84965-1",0.355,3.955,89.146,31.919,60,0,158,85,0.19,-0.741,0.849,0.532,127.732,0.285,1.596,0.627,0.565,1.128,142.001,0.765,31.641,41007,"nAd"
"84965-1",0.295,2.5,82.524,18.486,86,5,151,82,0.728,2.695,0.784,0.479,150.569,0.593,1.636,0.611,0.837,0.847,131.009,0.54,24.324,31524,"Ad"
"84965-1",0.241,2.63,85.532,28.23,58,38,157,80,0.721,-0.295,0.602,0.51,102.726,0.437,1.181,0.847,0.716,0.84,145.784,0.639,20.591,26686,"nAd"
"84965-1",0.52,3.761,78.61,35.684,0,0,130,88,-0.867,-0.256,1.017,0.651,94.111,0.462,1.563,0.64,0.845,1.145,75.964,0.663,40.882,52983,"nAd"
"84965-1",1.714,7.739,75.543,26.708,88,0,151,77,-0.299,0.375,2.161,1.01,178.645,0.36,2.14,0.467,0.807,2.453,166.908,1.222,129.46,167780,"nAd"
"84965-1",0.789,3.771,79.145,31.593,0,0,138,86,-0.997,0.497,1.235,0.814,13.432,0.698,1.518,0.659,0.893,1.318,34.695,0.85,62.473,80965,"nAd"
"84965-1",0.252,2.286,86.144,29.56,109,12,132,88,-0.264,-1.173,0.838,0.382,91.454,0.605,2.195,0.456,0.889,0.836,74.578,0.389,21.669,28083,"nAd"
"84965-1",1.463,5.285,95.374,27.863,99,0,160,99,-1.075,2.421,1.434,1.299,81.084,0.658,1.104,0.906,0.927,1.59,117.013,1.278,139.529,180829,"Ad"
"84965-1",0.629,5.087,66.519,36.755,0,0,156,66,0.123,-0.528,1.029,0.778,22.072,0.305,1.322,0.757,0.777,1.259,22.036,0.876,41.831,54213,NA
"84965-1",0.221,2.594,84.408,21.603,85,11,135,84,0.116,0.066,0.621,0.454,71.745,0.413,1.366,0.732,0.735,0.758,81.573,0.528,18.692,24225,NA
"84965-1",0.249,2.009,90.455,23.113,86,24,142,91,-0.18,-0.337,0.644,0.493,156.461,0.776,1.305,0.766,0.879,0.721,164.358,0.54,22.544,29217,"nAd"
"84965-1",0.345,2.932,79.47,18.979,70,21,143,77,0.413,-0.073,0.833,0.527,60.46,0.504,1.579,0.633,0.801,0.945,65.695,0.647,27.41,35523,"nAd"
"84965-1",0.282,2.555,85.384,21.859,90,31,145,85,0.198,-0.483,0.722,0.497,30.657,0.542,1.452,0.689,0.807,0.841,172.405,0.588,24.047,31165,"nAd"
"84965-1",2.174,9.811,74.255,25.09,76,0,140,76,-0.487,0.509,2.529,1.094,155.88,0.284,2.312,0.433,0.834,2.78,158.305,1.214,161.4,209175,"Ad"
"84965-1",0.569,3.193,98.114,20.077,90,31,148,101,-0.41,-0.193,1.113,0.651,30.434,0.701,1.71,0.585,0.928,1.16,47.911,0.659,55.795,72310,"nAd"
"84965-1",1.04,5.122,88.169,21.676,88,27,141,88,-0.102,-0.554,1.722,0.769,29.526,0.498,2.238,0.447,0.853,1.835,39.472,0.804,91.707,118852,"nAd"
"84965-1",0.54,3.146,70.304,32.827,0,0,134,75,-0.401,-0.715,0.927,0.741,81.22,0.686,1.251,0.799,0.893,1.024,40.601,0.753,37.973,49213,"nAd"
"84965-1",0.879,5.185,71.278,26.527,52,0,154,70,0.219,0.061,1.122,0.997,53.534,0.411,1.125,0.889,0.777,1.445,37.972,1.139,62.644,81186,"nAd"
"84965-1",0.24,2.15,95.91,24.67,79,23,151,96,-0.099,-0.528,0.678,0.451,54.337,0.652,1.503,0.665,0.817,0.731,81.254,0.524,23.015,29828,"nAd"
"84965-1",0.214,2.07,87.74,20.842,78,5,131,89,-0.324,0.135,0.706,0.386,150.002,0.627,1.83,0.546,0.808,0.772,142.306,0.47,18.753,24304,"nAd"
"84965-1",0.429,3.703,80.162,21.403,73,15,136,76,0.352,-0.338,0.843,0.648,2.562,0.393,1.301,0.768,0.692,1.118,165.619,0.808,34.39,44570,"nAd"
"84965-2",0.29,2.815,86.319,21.239,95,33,142,87,0.019,-0.366,0.799,0.462,25.623,0.46,1.728,0.579,0.809,0.894,14.036,0.569,25.041,34096,"Ad"
