"MouseID","Area","Perim.","Mean","StdDev","Mode","Min","Max","Median","Skew","Kurt","Major","Minor","Angle","Circ.","AR","Round","Solidity","Feret","FeretAngle","MinFeret","IntDen","RawIntDen","TumourCalling"
"82879-0",0.219,2.512,68.04,12.687,63,2,116,66,0.515,3.738,0.836,0.333,8.333,0.435,2.51,0.398,0.767,0.917,13.671,0.398,14.869,25651,"Ad"
"82879-0",0.783,4.219,64.222,12.682,66,0,94,66,-2.732,10.898,1.157,0.861,151.803,0.552,1.344,0.744,0.906,1.239,155.925,0.92,50.256,86700,NA
"82879-1",0.258,2.744,113.586,44.001,169,30,185,118,-0.11,-1.354,0.751,0.437,79.34,0.431,1.718,0.582,0.73,0.844,63.435,0.503,29.322,40323,"nAd"
"82879-1",0.204,2.934,108.718,43.026,94,9,188,103,0.095,-1.148,0.639,0.406,18.399,0.297,1.574,0.635,0.694,0.74,33.111,0.555,22.136,30441,"nAd"
"82879-1",8.242,17.229,73.462,30.847,0,0,160,74,-0.194,-0.237,3.923,2.675,93.464,0.349,1.467,0.682,0.856,4.342,96.419,2.911,605.46,832613,"nAd"
"82879-1",3.669,13.069,62.808,23.486,0,0,151,63,-0.221,0.648,2.68,1.743,76.192,0.27,1.538,0.65,0.81,2.986,69.928,2.05,230.42,316867,"nAd"
"82879-1",0.202,2.665,59.622,11.207,50,20,87,59,-0.156,0.237,0.687,0.375,107.096,0.358,1.835,0.545,0.749,0.772,102.095,0.489,12.053,16575,"nAd"
"82879-1",0.506,3.744,75.539,22.105,60,30,136,72,0.408,-0.613,0.86,0.749,59.681,0.454,1.149,0.87,0.82,1.041,53.427,0.809,38.232,52575,"nAd"
"82879-1",0.257,2.366,63.025,11.206,59,22,89,63,-0.322,0.445,0.708,0.463,1.125,0.578,1.53,0.653,0.812,0.773,150.751,0.559,16.224,22311,"nAd"
"82879-1",0.446,3.214,87.325,19.347,100,25,128,90,-0.511,-0.244,0.843,0.673,171.918,0.542,1.252,0.799,0.86,0.912,145.84,0.751,38.926,53530,"nAd"
"82879-1",0.201,2.22,72.895,13.648,73,20,103,75,-0.426,0.108,0.734,0.349,63.127,0.514,2.103,0.475,0.753,0.785,74.055,0.433,14.683,20192,"nAd"
"82879-1",0.242,2.014,92.607,24.766,109,35,143,95,-0.126,-0.922,0.695,0.443,30.989,0.751,1.569,0.637,0.893,0.729,38.991,0.47,22.425,30838,NA
"82879-1",0.265,2.546,62.236,13.227,53,38,98,59,0.569,-0.628,0.962,0.35,2.29,0.513,2.746,0.364,0.88,1.027,13.671,0.378,16.474,22654,"nAd"
"83556-0",0.857,4.635,78.611,26.731,69,0,140,81,-0.301,-0.256,1.134,0.963,15.326,0.502,1.178,0.849,0.86,1.368,26.565,1.107,67.391,95277,"nAd"
